Experiment ID,Judge Model,Embedding Model,Chunking Strategy,Generator LLM,Retrieval Method,Re-ranking Method,Context Ordering,TRACe Context Relevance ↑,TRACe Context Utilization ↑,TRACe Completeness ↑,TRACe Adherence ↑,Valid_Judge_response,Context Relevance RMSE ↓,Context Utilization RMSE ↓,Completeness RMSE ↓,Adherence AUROC ↑
LEG-058,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.0529,0.0929,0.28,1.0,25/25,0.1569,0.2322,0.7503,0.5
LEG-059,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.0529,0.0929,0.28,1.0,25/25,0.1569,0.2322,0.7503,0.5
LEG-060,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.0529,0.0929,0.28,1.0,25/25,0.1569,0.2322,0.7503,0.5
LEG-013,openai/gpt-oss-120b,legal-bert-base-uncased,sentence_3o1,llama-3.3-70b-versatile,dense,none,forward,0.0802,0.0669,0.3667,0.9467,25/25,0.2439,0.1502,0.7333,0.4565
LEG-018,openai/gpt-oss-120b,legal-bert-base-uncased,sentence_3o1,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.0829,0.0589,0.4033,0.92,25/25,0.2262,0.0968,0.7072,0.4565
LEG-019,openai/gpt-oss-120b,legal-bert-base-uncased,sentence_3o1,llama-3.3-70b-versatile,hybrid,none,forward,0.0827,0.0667,0.4433,0.9467,25/25,0.2212,0.0996,0.706,0.4565
LEG-044,openai/gpt-oss-120b,legal-bert-base-uncased,clause,llama-3.3-70b-versatile,hybrid,none,reverse,0.2053,0.1813,0.2933,0.7668,20/25,0.3554,0.2696,0.6526,0.4457
LEG-016,openai/gpt-oss-120b,legal-bert-base-uncased,sentence_3o1,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.0697,0.0431,0.3467,0.9067,25/25,0.2095,0.0594,0.7412,0.4348
LEG-020,openai/gpt-oss-120b,legal-bert-base-uncased,sentence_3o1,llama-3.3-70b-versatile,hybrid,none,reverse,0.0907,0.0853,0.46,0.8933,25/25,0.2373,0.1326,0.6929,0.4348
LEG-021,openai/gpt-oss-120b,legal-bert-base-uncased,sentence_3o1,llama-3.3-70b-versatile,hybrid,none,sides,0.0747,0.0587,0.3867,0.88,25/25,0.2259,0.0993,0.7001,0.4348
LEG-094,openai/gpt-oss-120b,all-MiniLM-L6-v2,clause,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.2453,0.2293,0.61,0.7584,21/25,0.36,0.3051,0.5215,0.4348
LEG-015,openai/gpt-oss-120b,legal-bert-base-uncased,sentence_3o1,llama-3.3-70b-versatile,dense,none,sides,0.0802,0.0695,0.4067,0.8667,25/25,0.2448,0.1507,0.7333,0.413
LEG-017,openai/gpt-oss-120b,legal-bert-base-uncased,sentence_3o1,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.0695,0.0482,0.3787,0.8667,25/25,0.2123,0.0749,0.7286,0.413
LEG-022,openai/gpt-oss-120b,legal-bert-base-uncased,sentence_3o1,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.088,0.0667,0.4267,0.8867,25/25,0.2201,0.0996,0.709,0.413
LEG-037,openai/gpt-oss-120b,legal-bert-base-uncased,clause,llama-3.3-70b-versatile,dense,none,forward,0.2133,0.2293,0.4533,0.8667,25/25,0.4026,0.3834,0.623,0.413
LEG-082,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.121,0.0735,0.464,0.88,21/25,0.2638,0.0979,0.6905,0.413
LEG-014,openai/gpt-oss-120b,legal-bert-base-uncased,sentence_3o1,llama-3.3-70b-versatile,dense,none,reverse,0.0855,0.0589,0.3667,0.8533,25/25,0.2266,0.0968,0.7611,0.3913
LEG-024,openai/gpt-oss-120b,legal-bert-base-uncased,sentence_3o1,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.0987,0.064,0.4027,0.8267,25/25,0.2452,0.1075,0.6583,0.3913
LEG-091,openai/gpt-oss-120b,all-MiniLM-L6-v2,clause,llama-3.3-70b-versatile,hybrid,none,forward,0.3013,0.2693,0.45,0.832,25/25,0.4862,0.4328,0.5897,0.3913
LEG-093,openai/gpt-oss-120b,all-MiniLM-L6-v2,clause,llama-3.3-70b-versatile,hybrid,none,sides,0.2613,0.2133,0.43,0.8267,24/25,0.4331,0.3335,0.62,0.3913
LEG-038,openai/gpt-oss-120b,legal-bert-base-uncased,clause,llama-3.3-70b-versatile,dense,none,reverse,0.2213,0.2773,0.44,0.852,25/25,0.4074,0.4391,0.6248,0.3696
LEG-039,openai/gpt-oss-120b,legal-bert-base-uncased,clause,llama-3.3-70b-versatile,dense,none,sides,0.1973,0.2373,0.44,0.8433,24/25,0.3869,0.3894,0.6406,0.3696
LEG-040,openai/gpt-oss-120b,legal-bert-base-uncased,clause,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.2053,0.1733,0.4667,0.8107,25/25,0.397,0.307,0.5843,0.3696
LEG-042,openai/gpt-oss-120b,legal-bert-base-uncased,clause,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.2213,0.2293,0.52,0.8178,25/25,0.4242,0.3732,0.5747,0.3696
LEG-084,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.1263,0.0856,0.4394,0.812,21/25,0.2611,0.126,0.6893,0.3696
LEG-087,openai/gpt-oss-120b,all-MiniLM-L6-v2,clause,llama-3.3-70b-versatile,dense,none,sides,0.2933,0.3333,0.54,0.7867,25/25,0.4762,0.4938,0.548,0.3696
LEG-041,openai/gpt-oss-120b,legal-bert-base-uncased,clause,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.2053,0.1733,0.42,0.784,24/25,0.3928,0.307,0.6274,0.3478
LEG-085,openai/gpt-oss-120b,all-MiniLM-L6-v2,clause,llama-3.3-70b-versatile,dense,none,forward,0.2453,0.2773,0.43,0.78,25/25,0.459,0.4425,0.619,0.3478
LEG-092,openai/gpt-oss-120b,all-MiniLM-L6-v2,clause,llama-3.3-70b-versatile,hybrid,none,reverse,0.2773,0.2373,0.44,0.8233,24/25,0.4452,0.3713,0.6194,0.3478
LEG-088,openai/gpt-oss-120b,all-MiniLM-L6-v2,clause,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.2533,0.2213,0.55,0.8026,24/25,0.4301,0.3452,0.5365,0.3261
LEG-043,openai/gpt-oss-120b,legal-bert-base-uncased,clause,llama-3.3-70b-versatile,hybrid,none,forward,0.1973,0.1893,0.3533,0.7971,22/25,0.377,0.2946,0.6483,0.3043
LEG-045,openai/gpt-oss-120b,legal-bert-base-uncased,clause,llama-3.3-70b-versatile,hybrid,none,sides,0.2533,0.2373,0.4133,0.8371,20/25,0.4396,0.3734,0.6483,0.3043
LEG-086,openai/gpt-oss-120b,all-MiniLM-L6-v2,clause,llama-3.3-70b-versatile,dense,none,reverse,0.2453,0.3013,0.52,0.7453,24/25,0.4305,0.4588,0.5529,0.3043
LEG-089,openai/gpt-oss-120b,all-MiniLM-L6-v2,clause,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.2693,0.2373,0.4267,0.7537,23/25,0.4446,0.3671,0.6336,0.3043
LEG-090,openai/gpt-oss-120b,all-MiniLM-L6-v2,clause,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.2773,0.2533,0.56,0.7586,24/25,0.4603,0.3959,0.5388,0.3043
