Experiment ID,Domain,Chunking Strategy,Embedding Model,Retrieval Technique,Re-ranking,Generator LLM Used,Context Relevance (score) / Rel RMSE,Context Utilization (score) / Util RMSE,Completeness (score) / Comp RMSE,Adherence (score) / Adh AUCROC,Reference Relevance,Reference Utilization,Reference Completeness,Reference Adherence,Samples,Notes / Error Analysis
CS-EXP-010,Customer Support (techqa),Sliding (120w/40),all-MiniLM-L6-v2,FAISS (dense),None,llama-3.1-8b-instant,"0.4853
RMSE 0.4893","0.0992
RMSE 0.1233","0.1924
RMSE 0.6126","0.3600
AUCROC 0.6944",0.0750,0.0435,0.5394,0.6400,25,Stage 6. Below scout reference.
CS-EXP-011,Customer Support (techqa),Sliding (120w/40),all-MiniLM-L6-v2,FAISS (dense),None,llama-3.3-70b-versatile,"0.4869
RMSE 0.4941","0.1262
RMSE 0.1456","0.2936
RMSE 0.6216","0.3200
AUCROC 0.7500",0.0750,0.0435,0.5394,0.6400,25,Matches scout (0.750/0.68).
CS-EXP-012,Customer Support (techqa),Sliding (120w/40),all-MiniLM-L6-v2,FAISS (dense),None,openai/gpt-oss-120b,"0.4887
RMSE 0.4807","0.2465
RMSE 0.3255","0.4519
RMSE 0.6541","0.4800
AUCROC 0.8750",0.0750,0.0435,0.5394,0.6400,25,WINNER + LOCKED. Best adherence recorded. Util RMSE inflated by comprehensive answers vs sparse GT (grounded per adherence). Acc 0.84.
CS-EXP-013,Customer Support (techqa),Sliding (120w/40),all-MiniLM-L6-v2,FAISS (dense),None,openai/gpt-oss-120b (judge=8b),"0.5116
RMSE 0.5055","0.2223
RMSE 0.2982","0.4346
RMSE 0.6739","0.4000
AUCROC 0.6389",0.0750,0.0435,0.5394,0.6400,25,JUDGE CHECK - NOT comparable to other rows. 8b judge 0.639 vs 70b 0.875 on same pipeline: 'smaller judge preferred' REFUTED; 70b judge mandatory.
CS-EXP-014,Customer Support (techqa),Sliding (120w/40),all-MiniLM-L6-v2,FAISS (dense),None,openai/gpt-oss-120b (soft prompt),"0.6200
RMSE 0.6065","0.5305
RMSE 0.5809","0.7940
RMSE 0.6112","0.2500
AUCROC 0.6875",0.0778,0.0454,0.5619,0.6667,24,"PROMPT TEST (n=24, 1 judge-JSON fail) - soft prompt drove IDK to 0% and adherence to 0.688/0.583 vs 0.875/0.84 strict: every suppressed refusal became a partially-unsupported answer. Worst Util RMSE (0.58). Strict IDK instruction confirmed protective; ~36% of queries lack retrievable answers."
CS-EXP-015,Customer Support (techqa),Sliding (120w/40),all-MiniLM-L6-v2,FAISS (dense),None,openai/gpt-oss-120b (compress-then-answer),"0.4503
RMSE 0.4247","0.2278
RMSE 0.2705","0.4643
RMSE 0.4945","0.3600
AUCROC 0.6944",0.0750,0.0435,0.5394,0.6400,25,"COMPRESSION TEST - no adherence gain (0.694): IDK root cause is retrieval-miss at k=5, not needle-in-noise. Best Comp RMSE (0.49) shows distillation works, but of the wrong haystack."
CS-VAL-001,Customer Support (techqa),Fixed (120w),all-MiniLM-L6-v2,FAISS (dense),None,openai/gpt-oss-120b,"0.4131
RMSE 0.4130","0.1626
RMSE 0.1967","0.3759
RMSE 0.6068","0.4400
AUCROC 0.7569",0.0750,0.0435,0.5394,0.6400,25,"TRANSFER VALIDATION - fixed chunking under gpt-oss lands below locked config (0.757 vs 0.875): Stage-1 sliding decision transfers; stage-generator independence empirically supported, not just assumed."
CS-EXP-FINAL,Customer Support (techqa),Sliding (120w/40),all-MiniLM-L6-v2,FAISS (dense),None,openai/gpt-oss-120b,"0.4525
RMSE 0.4590","0.1731
RMSE 0.2402","0.3747
RMSE 0.6084","0.3800
AUCROC 0.6430",0.0677,0.0371,0.6563,0.5950,200,"AUTHORITATIVE N=200 FINAL on locked config. AUCROC 0.643 / Acc 0.615 vs 0.875/0.84 @ N=25 - small-sample AUCROC substantially overestimated performance (Finance instability confirmed at scale). 80% per-example agreement w/ EXP-012 on shared 25: drop is sample composition, not run instability. RMSEs improved at scale (util 0.24 vs 0.33). Residual error dominated by answer-absent queries at k=5."
CS-EXP-020,Customer Support (techqa),Whole-doc (400w trunc),all-MiniLM-L6-v2,FAISS (dense),None,openai/gpt-oss-120b,"0.2371
RMSE 0.2501","0.1174
RMSE 0.2051","0.3827
RMSE 0.6538","0.4800
AUCROC 0.7882",0.0750,0.0435,0.5394,0.6400,25,"GRID GAP - GK's winning chunker on CS: 0.788/0.76, below lock (0.875). BEST Rel RMSE of campaign (0.250) yet adherence didn't follow - third confirmation content quality and adherence are decoupled on techqa. 800w version hit gpt-oss 8k TPM (413), truncated to 400w."
CS-EXP-021,Customer Support (techqa),Sentence 3s/1o,all-MiniLM-L6-v2,FAISS (dense),Cross-encoder ms-marco-MiniLM,openai/gpt-oss-120b,"0.6654
RMSE 0.6416","0.1496
RMSE 0.2407","0.2242
RMSE 0.6135","0.2400
AUCROC 0.6007",0.0750,0.0435,0.5394,0.6400,25,"GRID CS-FINAL CELL - REJECTED decisively: 0.601/0.52, IDK 48%, worst Rel RMSE (0.642). Tiny chunks starve the generator; grid's proposed final would be worst mainline choice for techqa."
CS-EXP-022,Customer Support (techqa),Sentence 3s/1o,all-MiniLM-L6-v2,FAISS (dense),None,openai/gpt-oss-120b,"0.6805
RMSE 0.6742","0.2508
RMSE 0.3777","0.3349
RMSE 0.6439","0.2000
AUCROC 0.6562",0.0750,0.0435,0.5394,0.6400,25,"ATTRIBUTION for 021: chunker alone 0.656 (bad), reranker made it worse (-0.055, IDK +12pts) - reranking tiny chunks over-concentrates on lexical fragments. Both components of grid CS-FINAL lose independently."
CS-EXP-023,Customer Support (techqa),Sliding (120w/40),bge-large-en-v1.5,Hybrid RRF,Cross-encoder ms-marco-MiniLM,openai/gpt-oss-120b,"0.4371
RMSE 0.4628","0.2106
RMSE 0.2742","0.4744
RMSE 0.5464","0.4000
AUCROC 0.8125",0.0750,0.0435,0.5394,0.6400,25,"GRID COMBO - surprise 2nd-best of campaign (0.813/0.76): three individually-rejected components jointly strong. Still below lock (gap ~1.5 examples = noise), no action - but flags that greedy selection can miss interaction effects."
CS-EXP-019,Customer Support (techqa),Sliding (120w/40),all-MiniLM-L6-v2,"FAISS (dense, k=20) + compress",None,openai/gpt-oss-120b,"0.2388
RMSE 0.2385","0.1255
RMSE 0.1427","0.5018
RMSE 0.6590","0.4000
AUCROC 0.7257",0.0750,0.0435,0.5394,0.6400,25,"COVERAGE ENDPOINT - retrieve-20-then-compress: lowest IDK of campaign (20%), best Rel RMSE (0.238) and Util RMSE (0.143), adherence still 0.726 < lock. Completes monotonic IDK-vs-coverage curve (36/32/20%) with flat adherence - 4th independent confirmation of content-adherence decoupling."
