i,error,question,response,retrieved_idx,context_relevance,context_utilization,completeness,adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
10,False,Are Agee and To Shoot an Elephant both documentaries about war?,"No, they are not both documentaries about war. To Shoot an Elephant is a documentary about the 2008-2009 Gaza War, but Agee is a documentary about the writer James Agee, with no indication that it is ","[2, 3, 0, 1]",0.1429,0.1429,1.0,True,0.14285714285714285,0.14285714285714285,1.0,True
11,False,Riom Trial was headed by the French general who reached what distinction?,"The Riom Trial was headed by the Vichy France regime, which was headed by Marshal Philippe Pétain, a French general who reached the distinction of Marshal of France.","[2, 0, 3, 1]",0.4545,0.1818,0.4,True,0.18181818181818182,0.18181818181818182,1.0,True
12,False,Which style is the building located on the East Side of Midtown Manhattan that Robert Von Ancken appraised? ,"The building located on the East Side of Midtown Manhattan that Robert Von Ancken appraised is the Chrysler Building, and it is an Art Deco-style skyscraper.","[0, 2, 1, 3]",0.1905,0.0952,0.5,True,0.09523809523809523,0.09523809523809523,1.0,True
13,False,Toyota Innova is part of the IMV program along with which light commercial vehicle?,The Toyota Innova is part of the IMV program along with the Hilux pickup truck and the Fortuner SUV. The Hilux is a light commercial vehicle.,"[0, 2, 3, 1]",0.1765,0.1176,0.6667,True,0.11764705882352941,0.11764705882352941,1.0,True
14,False,BOTH Skyang Kangri and Pumari Chhish are both what?,Both Skyang Kangri and Pumari Chhish are high peaks of the Karakoram range.,"[1, 0, 3, 2]",0.1538,0.1538,1.0,True,0.15384615384615385,0.15384615384615385,1.0,True
15,False,Telos was an album by a band who formed in what city?,"Telos was an album by the band Forevermore, who formed in Indianapolis, Indiana.","[3, 1, 2, 0]",0.1538,0.0769,0.5,True,0.11538461538461539,0.07692307692307693,0.6666666666666666,True
16,False,"Manchester, New Hampshire is a part of the Northeast megalopolis which included what other major cities?","Manchester, New Hampshire is a part of the Northeast megalopolis, which includes the major cities of Boston, Providence, Hartford, New York City, Philadelphia, Wilmington, Baltimore, and Washington, D","[3, 1, 0, 2]",0.1364,0.1364,1.0,True,0.22727272727272727,0.045454545454545456,0.2,True
17,False,Which tendencies does a group like Uyoku dantai fall under?,"A group like Uyoku dantai falls under authoritarian and nationalist tendencies, as they are described as ultranationalist far-right groups.","[0, 3, 2, 1]",0.2222,0.2222,1.0,True,0.4444444444444444,0.2222222222222222,0.5,True
18,False,What is the capitol of the district that also includes the village of Shienga?,"The capital of the East Mamprusi District, which includes the village of Shienga, is Gambaga.","[1, 3, 0, 2]",0.1765,0.1176,0.6667,True,0.17647058823529413,0.11764705882352941,0.6666666666666666,True
19,False,How many disciplines are combined in the degree that Hector Janse van Rensburg graduated from the University of York wit,"The degree that Hector Janse van Rensburg graduated from the University of York with, Philosophy, Politics and Economics, combines study from 3 disciplines.","[2, 0, 1, 3]",0.25,0.25,1.0,True,0.25,0.25,1.0,True
20,False,"In what year did the actor who starred in the TV Land original series ""The Soul Man"" host the Black Movie Awards?","The actor who starred in the TV Land original series ""The Soul Man"" is Cedric the Entertainer. According to Document 3, Cedric the Entertainer hosted the Black Movie Awards in 2005.","[3, 2, 0, 1]",0.1765,0.1176,0.6667,True,0.23529411764705882,0.11764705882352941,0.5,True
21,False,Havelock Ellis and Arnold Bennett were both what?,Havelock Ellis and Arnold Bennett were both English writers.,"[0, 3, 1, 2]",0.125,0.125,1.0,False,0.1875,0.1875,1.0,True
22,False,What  unincorporated town along the Amargosa River is near the Sarcobatus Flat?,Beatty is the unincorporated town along the Amargosa River near the Sarcobatus Flat.,"[3, 1, 2, 0]",0.1538,0.1538,1.0,True,0.23076923076923078,0.07692307692307693,0.3333333333333333,True
23,False,What color was the dog that Socks had conflicts with?,The dog that Socks had conflicts with was a chocolate-colored Labrador Retriever named Buddy.,"[3, 0, 2, 1]",0.1429,0.0952,0.6667,True,0.09523809523809523,0.09523809523809523,1.0,True
24,False,"Where does the team coached by someone with the nickname ""Coach K"" play?","The team coached by ""Coach K"" (Mike Krzyzewski) plays at Cameron Indoor Stadium in Durham, North Carolina.","[3, 0, 2, 1]",0.1905,0.1429,0.75,True,0.19047619047619047,0.09523809523809523,0.5,True
