Experiment ID,Judge Model,Embedding Model,Chunking Strategy,Generator LLM,Retrieval Method,Re-ranking Method,Context Ordering,TRACe Context Relevance ↑,TRACe Context Utilization ↑,TRACe Completeness ↑,TRACe Adherence ↑,Valid_Judge_response,Context Relevance RMSE ↓,Context Utilization RMSE ↓,Completeness RMSE ↓,Adherence AUROC ↑
CS-071,openai/gpt-oss-120b,all-MiniLM-L6-v2,fixed_120w,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.416,0.36,0.564,0.7809,21/25,0.4472,0.4376,0.5418,0.6033
CS-013,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,dense,none,forward,0.2857,0.136,0.4332,0.6067,23/25,0.2772,0.1826,0.5271,0.5667
CS-066,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.2652,0.1757,0.5148,0.6191,24/25,0.2498,0.22,0.5244,0.5667
CS-061,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,hybrid,none,forward,0.2567,0.1449,0.4987,0.5514,25/25,0.2645,0.1884,0.5586,0.5633
CS-089,openai/gpt-oss-120b,bge-small-en-v1.5,sliding_5o2,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.239,0.1482,0.5284,0.642,24/25,0.2218,0.1614,0.5036,0.5633
CS-049,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,hybrid,none,forward,0.09,0.0372,0.4379,0.6016,25/25,0.0564,0.0451,0.6034,0.56
CS-057,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,hybrid,none,sides,0.3382,0.1913,0.5893,0.6445,24/25,0.3395,0.2566,0.5652,0.5567
CS-074,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,hybrid,none,reverse,0.1046,0.044,0.3726,0.5335,24/25,0.0912,0.0605,0.5974,0.5567
CS-031,openai/gpt-oss-120b,bge-small-en-v1.5,sentence_3o1,llama-3.3-70b-versatile,dense,none,forward,0.4387,0.23,0.4615,0.5707,24/25,0.4451,0.3088,0.5714,0.55
CS-012,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.3962,0.1598,0.3787,0.5809,25/25,0.4009,0.2051,0.5658,0.54
CS-088,openai/gpt-oss-120b,bge-small-en-v1.5,sliding_5o2,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.2708,0.1775,0.4905,0.5743,22/25,0.2559,0.2371,0.5514,0.54
CS-021,openai/gpt-oss-120b,all-MiniLM-L6-v2,fixed_120w,llama-3.3-70b-versatile,dense,none,sides,0.448,0.32,0.562,0.564,24/25,0.4804,0.4199,0.629,0.5333
CS-050,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,hybrid,none,reverse,0.1052,0.0404,0.3966,0.5606,24/25,0.0901,0.0442,0.5861,0.5267
CS-007,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,dense,none,forward,0.3798,0.2147,0.5476,0.6131,25/25,0.3592,0.2534,0.5632,0.5233
CS-010,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.388,0.2263,0.5471,0.6352,25/25,0.3962,0.2654,0.4826,0.5233
CS-014,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,dense,none,reverse,0.271,0.1188,0.3649,0.4061,24/25,0.2768,0.2042,0.6339,0.52
CS-026,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,dense,none,reverse,0.1011,0.0474,0.4898,0.4686,25/25,0.0832,0.0615,0.6912,0.51
CS-085,openai/gpt-oss-120b,bge-small-en-v1.5,sliding_5o2,llama-3.3-70b-versatile,hybrid,none,forward,0.2544,0.1681,0.49,0.6673,22/25,0.2578,0.2257,0.5251,0.5
CS-090,openai/gpt-oss-120b,bge-small-en-v1.5,sliding_5o2,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.2524,0.166,0.508,0.5778,24/25,0.234,0.2206,0.6354,0.4967
CS-019,openai/gpt-oss-120b,all-MiniLM-L6-v2,fixed_120w,llama-3.3-70b-versatile,dense,none,forward,0.416,0.28,0.59,0.5984,22/25,0.4589,0.3686,0.5345,0.4933
CS-072,openai/gpt-oss-120b,all-MiniLM-L6-v2,fixed_120w,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.392,0.336,0.592,0.6432,21/25,0.4234,0.4066,0.5204,0.4933
CS-001,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,dense,none,forward,0.0812,0.0496,0.5689,0.7293,25/25,0.0437,0.0494,0.6151,0.4867
CS-062,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,hybrid,none,reverse,0.2607,0.1093,0.4112,0.4124,24/25,0.2793,0.1479,0.5852,0.4867
CS-008,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,dense,none,reverse,0.3558,0.2127,0.5784,0.6,25/25,0.3552,0.2397,0.5569,0.48
CS-027,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,dense,none,sides,0.0915,0.0434,0.4702,0.6117,24/25,0.0667,0.0338,0.5767,0.4767
CS-063,openai/gpt-oss-120b,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,hybrid,none,sides,0.2554,0.1086,0.3661,0.6509,22/25,0.2622,0.1412,0.5772,0.4767
CS-056,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,hybrid,none,reverse,0.3579,0.1756,0.4622,0.6426,23/25,0.3688,0.2179,0.5187,0.4733
CS-084,openai/gpt-oss-120b,bge-small-en-v1.5,sentence_3o1,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.3757,0.2216,0.4692,0.5509,21/25,0.3926,0.3103,0.5677,0.47
CS-011,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.4138,0.2128,0.472,0.601,23/25,0.4102,0.2739,0.6327,0.4667
CS-055,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,hybrid,none,forward,0.4033,0.1473,0.4566,0.47,24/25,0.4193,0.1962,0.5347,0.4667
CS-059,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.3302,0.1696,0.4349,0.5942,23/25,0.3256,0.2422,0.6371,0.4633
CS-004,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.0933,0.0477,0.4105,0.4686,25/25,0.0683,0.0549,0.6196,0.4533
CS-028,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.0933,0.0477,0.4105,0.4686,25/25,0.0683,0.0549,0.6196,0.4533
CS-052,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.0933,0.0477,0.4105,0.4686,25/25,0.0683,0.0549,0.6196,0.4533
CS-076,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.0933,0.0477,0.4105,0.4686,25/25,0.0683,0.0549,0.6196,0.4533
CS-079,openai/gpt-oss-120b,bge-small-en-v1.5,sentence_3o1,llama-3.3-70b-versatile,hybrid,none,forward,0.338,0.1808,0.4323,0.4552,24/25,0.3423,0.2617,0.6137,0.4533
CS-060,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.3359,0.1632,0.4009,0.5042,24/25,0.3382,0.237,0.6003,0.4367
CS-081,openai/gpt-oss-120b,bge-small-en-v1.5,sentence_3o1,llama-3.3-70b-versatile,hybrid,none,sides,0.3654,0.1686,0.419,0.4848,24/25,0.3791,0.238,0.5781,0.4367
CS-005,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.1067,0.0514,0.4113,0.3976,23/25,0.0898,0.0824,0.6391,0.4333
CS-025,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,dense,none,forward,0.0983,0.0528,0.4935,0.5589,24/25,0.0941,0.0617,0.5919,0.4333
CS-029,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.1067,0.0514,0.4113,0.3976,23/25,0.0898,0.0824,0.6391,0.4333
CS-032,openai/gpt-oss-120b,bge-small-en-v1.5,sentence_3o1,llama-3.3-70b-versatile,dense,none,reverse,0.3615,0.1685,0.4216,0.4067,24/25,0.3668,0.2436,0.6057,0.4333
CS-053,openai/gpt-oss-120b,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.1067,0.0514,0.4113,0.3976,23/25,0.0898,0.0824,0.6391,0.4333
CS-077,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.1067,0.0514,0.4113,0.3976,23/25,0.0898,0.0824,0.6391,0.4333
CS-082,openai/gpt-oss-120b,bge-small-en-v1.5,sentence_3o1,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.3789,0.2166,0.4474,0.5285,21/25,0.4021,0.3113,0.5669,0.43
CS-083,openai/gpt-oss-120b,bge-small-en-v1.5,sentence_3o1,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.3666,0.214,0.4446,0.552,20/25,0.3897,0.3255,0.6574,0.4267
CS-080,openai/gpt-oss-120b,bge-small-en-v1.5,sentence_3o1,llama-3.3-70b-versatile,hybrid,none,reverse,0.3802,0.1623,0.4587,0.5248,24/25,0.3833,0.2205,0.5875,0.4233
CS-070,openai/gpt-oss-120b,all-MiniLM-L6-v2,fixed_120w,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.416,0.296,0.5087,0.6432,22/25,0.4571,0.4021,0.5932,0.4167
CS-073,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,hybrid,none,forward,0.0983,0.0511,0.4495,0.5316,25/25,0.0845,0.0683,0.5753,0.4167
CS-086,openai/gpt-oss-120b,bge-small-en-v1.5,sliding_5o2,llama-3.3-70b-versatile,hybrid,none,reverse,0.2589,0.1017,0.3321,0.556,24/25,0.2807,0.1369,0.5948,0.4167
CS-093,openai/gpt-oss-120b,bge-small-en-v1.5,fixed_120w,llama-3.3-70b-versatile,hybrid,none,sides,0.376,0.24,0.4853,0.6946,20/25,0.4028,0.3374,0.5911,0.41
CS-023,openai/gpt-oss-120b,all-MiniLM-L6-v2,fixed_120w,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.416,0.264,0.528,0.6342,24/25,0.4542,0.362,0.594,0.4067
CS-075,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,hybrid,none,sides,0.082,0.0455,0.5712,0.5418,23/25,0.0644,0.0456,0.5966,0.4067
CS-067,openai/gpt-oss-120b,all-MiniLM-L6-v2,fixed_120w,llama-3.3-70b-versatile,hybrid,none,forward,0.416,0.32,0.6007,0.6072,22/25,0.4505,0.4128,0.572,0.3933
CS-020,openai/gpt-oss-120b,all-MiniLM-L6-v2,fixed_120w,llama-3.3-70b-versatile,dense,none,reverse,0.464,0.32,0.5473,0.5446,23/25,0.5049,0.4387,0.6694,0.3867
CS-058,openai/gpt-oss-120b,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.3365,0.1696,0.4202,0.4685,24/25,0.3464,0.2386,0.562,0.36
CS-022,openai/gpt-oss-120b,all-MiniLM-L6-v2,fixed_120w,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.416,0.28,0.5267,0.4932,24/25,0.4439,0.385,0.646,0.3567
CS-091,openai/gpt-oss-120b,bge-small-en-v1.5,fixed_120w,llama-3.3-70b-versatile,hybrid,none,forward,0.384,0.224,0.512,0.6069,20/25,0.4248,0.3007,0.6243,0.3533
CS-069,openai/gpt-oss-120b,all-MiniLM-L6-v2,fixed_120w,llama-3.3-70b-versatile,hybrid,none,sides,0.4,0.256,0.4733,0.5024,23/25,0.4267,0.3728,0.6898,0.3167
CS-092,openai/gpt-oss-120b,bge-small-en-v1.5,fixed_120w,llama-3.3-70b-versatile,hybrid,none,reverse,0.36,0.264,0.5953,0.5754,23/25,0.3928,0.3345,0.5161,0.2233
CS-068,openai/gpt-oss-120b,all-MiniLM-L6-v2,fixed_120w,llama-3.3-70b-versatile,hybrid,none,reverse,0.4,0.304,0.56,0.5207,24/25,0.4385,0.4025,0.6349,0.1633
