id,model,ability,query,model_response,rejected,rejected_strict
111,openai/gpt-oss-20b,negative_rejection,Who won the World Cup Final in 2022?,Argentina won the 2022 FIFA World Cup Final.,0,0
112,openai/gpt-oss-20b,negative_rejection,Who is the chief meteorologist for KPLR-TV?,I can not answer the question because of the insufficient information in documents.,1,1
113,openai/gpt-oss-20b,negative_rejection,Who is the new head of development at Riff Raff Entertainment?,I can not answer the question because of the insufficient information in documents.,1,1
114,openai/gpt-oss-20b,negative_rejection,How much money did Texas Tech pay Marlene Stollings in the settlement?,I can not answer the question because of the insufficient information in documents.,1,1
115,openai/gpt-oss-20b,negative_rejection,Who acquired a stake in FromSoftware?,"The document states that **Sixjoy** will purchase 1,703 shares of FromSoftware, thereby acquiring a stake in the company. (Kadokawa is noted as retaining a 69.66 % majority stake.)",0,0
116,openai/gpt-oss-20b,negative_rejection,Who is the new Coach for The Voice Season 22?,I can not answer the question because of the insufficient information in documents.,1,1
117,openai/gpt-oss-20b,negative_rejection,What was the unemployment rate in August 2022 in U.S.?,I can not answer the question because of the insufficient information in documents.,1,1
118,openai/gpt-oss-20b,negative_rejection,Who did Serena Williams lose to in her last match at the U.S. Open?,I can not answer the question because of the insufficient information in documents.,1,1
119,openai/gpt-oss-20b,negative_rejection,How many people were injured in the shuttle van accident on Palisades Interstate Parkway?,I can not answer the question because of the insufficient information in documents.,1,1
120,openai/gpt-oss-20b,negative_rejection,Who is the head coach of Virginia Tech football?,The head coach of Virginia Tech football is **Brent Pry**.,0,0
121,openai/gpt-oss-20b,negative_rejection,How did Tanya Pardazi die?,I can not answer the question because of the insufficient information in documents.,1,1
122,openai/gpt-oss-20b,negative_rejection,Who was named interim coach for Nebraska's 2022 season?,I can not answer the question because of the insufficient information in documents.,1,1
123,openai/gpt-oss-20b,negative_rejection,What is the release date of Jackie Evancho's album Carousel of Time?,I can not answer the question because of the insufficient information in documents.,1,1
124,openai/gpt-oss-20b,negative_rejection,Which companies are part of MATANA?,I can not answer the question because of the insufficient information in documents.,1,1
125,openai/gpt-oss-20b,negative_rejection,Which animated series won the Emmy Award for Best Animated Program?,I cannot answer the question because the provided document does not contain information about which animated series won the Emmy Award for Best Animated Program.,0,0
126,openai/gpt-oss-20b,negative_rejection,How many teams will be included in the expanded College Football Playoff?,The expanded College Football Playoff will include **8 teams**.,0,0
127,openai/gpt-oss-20b,negative_rejection,Which team will host nation Qatar play against in the opening match of the 2022 World Cup?,I can not answer the question because of the insufficient information in documents.,1,1
128,openai/gpt-oss-20b,negative_rejection,Where did Leonard Francis escape from?,Leonard Francis escaped from his home‑detention arrangement in California.,0,0
129,openai/gpt-oss-20b,negative_rejection,When does the 2022 NFL Football Season begin?,I can not answer the question because of the insufficient information in documents.,1,1
130,openai/gpt-oss-20b,negative_rejection,When did Meta Connect take place?,"Meta Connect took place on **October 28, 2021**.",0,0
131,openai/gpt-oss-20b,negative_rejection,How much is the fine that Meta is facing for failing to safeguard children's information on Instagram?,,0,0
132,openai/gpt-oss-20b,negative_rejection,When was Gotham Knights released?,I can not answer the question because of the insufficient information in documents.,1,1
133,openai/gpt-oss-20b,negative_rejection,How did Bernard Shaw die?,I can not answer the question because of the insufficient information in documents.,1,1
134,openai/gpt-oss-20b,negative_rejection,When did Queen Elizabeth II die?,I can not answer the question because of the insufficient information in documents.,1,1
135,openai/gpt-oss-20b,negative_rejection,Where did Queen Elizabeth II die?,I can not answer the question because of the insufficient information in documents.,1,1
136,openai/gpt-oss-20b,negative_rejection,who did Alcaraz beat in U.S. Open 2022 Men's Semifinals?,Alcaraz beat **Karen Khachanov** in the 2022 U.S. Open men’s semifinal.,0,0
137,openai/gpt-oss-20b,negative_rejection,when did king charles iii get crowned?,I can not answer the question because of the insufficient information in documents.,1,1
138,openai/gpt-oss-20b,negative_rejection,"What is Trace Adkins' role in ""Monarch""?",I can not answer the question because of the insufficient information in documents.,1,1
139,openai/gpt-oss-20b,negative_rejection,When does the iPhone 14 Plus release?,I can not answer the question because of the insufficient information in documents.,1,1
140,openai/gpt-oss-20b,negative_rejection,Who stars as Susie Wallis in Susie Searches?,The role of Susie Wallis in *Susie Searches* is played by the actor **Clemons**.,0,0
141,openai/gpt-oss-20b,negative_rejection,What is the new product at Chick-fil-A in fall 2022?,I can not answer the question because of the insufficient information in documents.,1,1
142,openai/gpt-oss-20b,negative_rejection,Which team will Kyle Busch join in 2023?,Kyle Busch will join Richard Childress Racing (RCR) in 2023.,0,0
143,openai/gpt-oss-20b,negative_rejection,What is men's year-end No 1 in tennis in 2022?,I can not answer the question because of the insufficient information in documents.,1,1
144,openai/gpt-oss-20b,negative_rejection,Who was playing Lex Luthor in Titans?,I can not answer the question because of the insufficient information in documents.,1,1
145,openai/gpt-oss-20b,negative_rejection,What is Columbia University's QS ranking in 2023?,I can not answer the question because of the insufficient information in documents.,1,1
146,openai/gpt-oss-20b,negative_rejection,Who was the first Asian man to win Lead Actor in a Drama Series?,The first Asian man to win the Emmy for Outstanding Lead Actor in a Drama Series was **Riz Ahmed**.,0,0
147,openai/gpt-oss-20b,negative_rejection,How much did Google acquire Mandiant for?,I can not answer the question because of the insufficient information in documents.,1,1
148,openai/gpt-oss-20b,negative_rejection,What was the inflation rate in the U.S. in August 2022?,I can not answer the question because of the insufficient information in documents.,1,1
149,openai/gpt-oss-20b,negative_rejection,Who is receiving the 39th Walter Cronkite Award for Excellence in Journalism?,The 39th Walter Cronkite Award for Excellence in Journalism is being presented to **Katherine “Kathy” King**.,0,0
150,openai/gpt-oss-20b,negative_rejection,What is the name of the sequel to The Legend of Zelda: Breath of the Wild?,I can not answer the question because of the insufficient information in documents.,1,1
151,openai/gpt-oss-20b,negative_rejection,when was The Legend of Zelda: Tears of the Kingdom released?,The Legend of Zelda: Tears of the Kingdom was released in May 2023.,0,0
152,openai/gpt-oss-20b,negative_rejection,When was Hocus Pocus 2 released on Disney+?,Hocus Pocus 2 was released on Disney+ in the fall of 2022.,0,0
153,openai/gpt-oss-20b,negative_rejection,When is ACL 2023 taking place?,I can not answer the question because of the insufficient information in documents.,1,1
154,openai/gpt-oss-20b,negative_rejection,Where is ACL 2023 taking place?,I can not answer the question because of the insufficient information in documents.,1,1
155,openai/gpt-oss-20b,negative_rejection,When is EMNLP 2023 taking place?,I can not answer the question because of the insufficient information in documents.,1,1
156,openai/gpt-oss-20b,negative_rejection,Where is EMNLP 2023 taking place?,I can not answer the question because of the insufficient information in documents.,1,1
157,openai/gpt-oss-20b,negative_rejection,What is the starting price for Virginia Tech 2023 football season tickets?,I can not answer the question because of the insufficient information in documents.,1,1
158,openai/gpt-oss-20b,negative_rejection,What is the date of the Wine OFF the Fox benefit concert?,I can not answer the question because of the insufficient information in documents.,1,1
159,openai/gpt-oss-20b,negative_rejection,When is the funeral of Queen Elizabeth II?,I can not answer the question because of the insufficient information in documents.,1,1
160,openai/gpt-oss-20b,negative_rejection,Where did Queen Elizabeth II's state funeral take place?,Queen Elizabeth II’s state funeral was held at **Westminster Abbey**.,0,0
161,openai/gpt-oss-20b,negative_rejection,Who were the top two contestants in the America's Got Talent Season 17 finale?,"The finale was won by the dance group from Lebanon, with the Australian pole‑dancer finishing in second place.",0,0
162,openai/gpt-oss-20b,negative_rejection,When is MotorCity Cage Night XII?,I can not answer the question because of the insufficient information in documents.,1,1
163,openai/gpt-oss-20b,negative_rejection,How many people died in the mid-air collision in Boulder County?,I can not answer the question because of the insufficient information in documents.,1,1
164,openai/gpt-oss-20b,negative_rejection,Who is Italy's first female prime minister?,Italy’s first female prime minister is Giorgia Meloni.,0,0
165,openai/gpt-oss-20b,negative_rejection,What caused Ben Davies to be unavailable for Wales in the upcoming Nations League matches?,I can not answer the question because of the insufficient information in documents.,1,1
166,openai/gpt-oss-20b,negative_rejection,Who won the WNBA Finals 2022?,,0,0
167,openai/gpt-oss-20b,negative_rejection,When did the Golden Globe Awards 2023 take place?,I can not answer the question because of the insufficient information in documents.,1,1
168,openai/gpt-oss-20b,negative_rejection,What is the release date of the Pixel Watch?,I can not answer the question because of the insufficient information in documents.,1,1
169,openai/gpt-oss-20b,negative_rejection,Who was honored with a Lifetime Professional Achievement Award at the Seton Hall's Center for Sports Media Gala?,I can not answer the question because of the insufficient information in documents.,1,1
170,openai/gpt-oss-20b,negative_rejection,Who performed at the Super Bowl LVII Halftime Show?,I can not answer the question because of the insufficient information in documents.,1,1
171,openai/gpt-oss-20b,negative_rejection,when did Shinzo Abe die?,I can not answer the question because of the insufficient information in documents.,1,1
172,openai/gpt-oss-20b,negative_rejection,who killed Shinzo Abe?,I can not answer the question because of the insufficient information in documents.,1,1
173,openai/gpt-oss-20b,negative_rejection,when was the State funeral of Shinzo Abe,The state funeral of Shinzo Abe was held on **26 September 2022**.,0,0
174,openai/gpt-oss-20b,negative_rejection,What is the title of House of the Dragon's sixth episode?,I can not answer the question because of the insufficient information in documents.,1,1
175,openai/gpt-oss-20b,negative_rejection,Who has acquired Times Square Grand Slam?,I can not answer the question because of the insufficient information in documents.,1,1
176,openai/gpt-oss-20b,negative_rejection,When is the premiere date of Derry Girls Season 3?,I can not answer the question because of the insufficient information in documents.,1,1
177,openai/gpt-oss-20b,negative_rejection,Who was awarded the 2022 Nobel Prize for Physiology and Medicine?,I can not answer the question because of the insufficient information in documents.,1,1
178,openai/gpt-oss-20b,negative_rejection,who was awarded the 2022 nobel prize in literature?,The 2022 Nobel Prize in Literature was awarded to **Annie Ernaux**.,0,0
179,openai/gpt-oss-20b,negative_rejection,Who is the new CEO of Fox Entertainment?,I can not answer the question because of the insufficient information in documents.,1,1
180,openai/gpt-oss-20b,negative_rejection,Who won the Japanese Grand Prix 2022?,The winner of the 2022 Japanese Grand Prix was **Max Verstappen**.,0,0
181,openai/gpt-oss-20b,negative_rejection,who played Adrianna Tomaz in Black Adam?,I can not answer the question because of the insufficient information in documents.,1,1
182,openai/gpt-oss-20b,negative_rejection,Who stars as Dr. Ben Seong in the Quantum Leap revival?,I can not answer the question because of the insufficient information in documents.,1,1
183,openai/gpt-oss-20b,negative_rejection,What is the price of RTX 4090 GPU?,I can not answer the question because of the insufficient information in documents.,1,1
184,openai/gpt-oss-20b,negative_rejection,What is the release date of Sweetwater?,I can not answer the question because of the insufficient information in documents.,1,1
185,openai/gpt-oss-20b,negative_rejection,When did the Google Pixel Watch start sell?,I can not answer the question because of the insufficient information in documents.,1,1
186,openai/gpt-oss-20b,negative_rejection,Who is the recipient of the 2022 Tom Hanks Caregiver Champion Award?,I can not answer the question because of the insufficient information in documents.,1,1
187,openai/gpt-oss-20b,negative_rejection,Who is the president of the Prospect Park Alliance?,I can not answer the question because of the insufficient information in documents.,1,1
188,openai/gpt-oss-20b,negative_rejection,What gaming software development studio did Riot Games acquire?,,0,0
189,openai/gpt-oss-20b,negative_rejection,Who is the new CEO of Yahoo?,I can not answer the question because of the insufficient information in documents.,1,1
190,openai/gpt-oss-20b,negative_rejection,What is the subscriber growth of Netflix in Q3 2022?,I can not answer the question because of the insufficient information in documents.,1,1
191,openai/gpt-oss-20b,negative_rejection,"What is the title of Chicago P.D. Season 10, Episode 4?",I can not answer the question because of the insufficient information in documents.,1,1
192,openai/gpt-oss-20b,negative_rejection,How much does the YouTube Premium family plan cost now?,I can not answer the question because of the insufficient information in documents.,1,1
193,openai/gpt-oss-20b,negative_rejection,What is the release date of God of War Ragnarok?,The game was released on **9 November 2022**.,0,0
194,openai/gpt-oss-20b,negative_rejection,Who voices Batman in Batwheels?,I can not answer the question because of the insufficient information in documents.,1,1
195,openai/gpt-oss-20b,negative_rejection,Who is the new prime minister of the United Kingdom?,The new prime minister of the United Kingdom is **Rishi Sunak**.,0,0
196,openai/gpt-oss-20b,negative_rejection,when did rishi sunak became prime minister of uk?,Rishi Sunak became Prime Minister of the United Kingdom on **25 October 2022**.,0,0
197,openai/gpt-oss-20b,negative_rejection,How much does the Netflix Basic with Ads subscription cost?,I can not answer the question because of the insufficient information in documents.,1,1
198,openai/gpt-oss-20b,negative_rejection,When does season 5 of The Crown premiere?,I can not answer the question because of the insufficient information in documents.,1,1
199,openai/gpt-oss-20b,negative_rejection,Where does The White Lotus Season 2 take place,"The second season of *The White Lotus* is set in Italy.  It takes place on the island’s north coast, with most scenes filmed along the seafront by the Sea Palace Hotel on Lungomare Giuseppe Giardina.",0,0
200,openai/gpt-oss-20b,negative_rejection,Who won the Arizona Senatorial Election 2022?,I can not answer the question because of the insufficient information in documents.,1,1
201,openai/gpt-oss-20b,negative_rejection,which party controls the house after 2022 midterm elections?,The House was controlled by the **Republican Party** after the 2022 midterm elections.,0,0
202,openai/gpt-oss-20b,negative_rejection,Who won the U.S. Senate race in Nevada in the 2022 midterm elections?,I can not answer the question because of the insufficient information in documents.,1,1
203,openai/gpt-oss-20b,negative_rejection,Who directed Lullaby?,I can not answer the question because of the insufficient information in documents.,1,1
