exp_id,timestamp,domain,dataset_config,n_examples,fingerprint,judge_model,embedder,chunk_config,gen_model,retrieval,rerank,context_order,context_relevance,context_utilization,completeness,adherence,judge_used,context_relevance_rmse,context_utilization_rmse,completeness_rmse,adherence_auroc,elapsed_s
FIN-044,2026-08-06T10:04:22Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,large_sem_1100,llama-3.3-70b-versatile,hybrid,none,reverse,0.088,0.057,0.689,0.827,0.88,0.0607,0.0333,0.5011,0.4702,1224.0
FIN-045,2026-08-06T10:17:49Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,large_sem_1100,llama-3.3-70b-versatile,hybrid,none,sides,0.088,0.065,0.737,0.7,0.88,0.0574,0.0617,0.5326,0.5714,803.6
FIN-046,2026-08-06T10:18:12Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,large_sem_1100,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.105,0.087,0.847,0.858,0.96,0.0873,0.0831,0.3145,0.2857,20.4
FIN-047,2026-08-06T10:18:34Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,large_sem_1100,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.095,0.067,0.636,0.841,0.8,0.0697,0.0787,0.5317,0.5714,18.1
FIN-048,2026-08-06T10:18:58Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,finbert,large_sem_1100,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.091,0.075,0.833,0.817,0.96,0.0627,0.0594,0.4256,0.4524,21.6
FIN-049,2026-08-06T15:11:31Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,dense,none,forward,0.104,0.086,0.767,0.706,0.8,0.0745,0.0877,0.393,0.5774,481.3
FIN-050,2026-08-06T15:21:42Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,dense,none,reverse,0.084,0.07,0.803,0.784,0.88,0.0573,0.0604,0.4362,0.5952,607.6
FIN-051,2026-08-06T15:28:58Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,dense,none,sides,0.095,0.072,0.76,0.834,0.96,0.0602,0.039,0.457,0.3274,433.2
FIN-052,2026-08-06T15:31:14Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.099,0.083,0.844,0.824,0.88,0.074,0.0723,0.3405,0.4702,133.0
FIN-053,2026-08-06T15:31:35Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.077,0.063,0.78,0.802,0.92,0.0591,0.0601,0.4583,0.5536,17.8
FIN-054,2026-08-06T15:31:55Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.127,0.063,0.66,0.824,0.96,0.1018,0.0406,0.5022,0.3571,17.5
FIN-055,2026-08-06T15:31:59Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,hybrid,none,forward,0.103,0.089,0.797,0.754,0.8,0.0759,0.0866,0.3702,0.4107,0.2
FIN-056,2026-08-06T15:32:02Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,hybrid,none,reverse,0.079,0.067,0.833,0.739,0.92,0.0593,0.0604,0.4333,0.4881,0.1
FIN-057,2026-08-06T15:32:05Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,hybrid,none,sides,0.116,0.071,0.733,0.808,0.96,0.0933,0.041,0.4321,0.2976,0.1
FIN-058,2026-08-06T15:32:25Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.099,0.083,0.844,0.824,0.88,0.074,0.0723,0.3405,0.4702,17.6
FIN-059,2026-08-06T15:32:47Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.077,0.063,0.78,0.802,0.92,0.0591,0.0601,0.4583,0.5536,18.1
FIN-060,2026-08-06T15:33:08Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.127,0.063,0.66,0.824,0.96,0.1018,0.0406,0.5022,0.3571,17.9
FIN-061,2026-08-06T15:56:21Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,sentence_4o1,llama-3.3-70b-versatile,dense,none,forward,0.133,0.099,0.67,0.828,0.84,0.1395,0.1266,0.5305,0.4405,1332.6
FIN-062,2026-08-06T16:20:57Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,sentence_4o1,llama-3.3-70b-versatile,dense,none,reverse,0.164,0.13,0.597,0.732,0.72,0.1863,0.1857,0.5974,0.4107,1473.0
FIN-063,2026-08-06T16:49:56Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,sentence_4o1,llama-3.3-70b-versatile,dense,none,sides,0.148,0.115,0.7,0.788,0.8,0.1488,0.1346,0.5,0.5595,1736.7
FIN-064,2026-08-06T16:52:57Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,sentence_4o1,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.163,0.137,0.897,0.848,0.96,0.1647,0.1506,0.3354,0.4821,177.9
FIN-065,2026-08-06T17:00:39Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,sentence_4o1,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.176,0.086,0.607,0.856,0.88,0.2168,0.1165,0.5802,0.4583,458.6
FIN-066,2026-08-06T17:08:11Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,sentence_4o1,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.164,0.111,0.76,0.837,0.88,0.2101,0.1276,0.4899,0.4643,448.8
FIN-067,2026-08-06T17:16:38Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,sentence_4o1,llama-3.3-70b-versatile,hybrid,none,forward,0.166,0.105,0.737,0.823,0.88,0.2173,0.1389,0.5069,0.3869,503.9
FIN-068,2026-08-06T17:31:03Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,sentence_4o1,llama-3.3-70b-versatile,hybrid,none,reverse,0.146,0.056,0.583,0.861,0.96,0.1771,0.046,0.5747,0.4881,862.3
FIN-069,2026-08-06T17:45:29Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,sentence_4o1,llama-3.3-70b-versatile,hybrid,none,sides,0.204,0.104,0.773,0.935,0.92,0.2488,0.1295,0.4137,0.5714,863.1
FIN-070,2026-08-06T17:46:00Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,sentence_4o1,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.163,0.137,0.897,0.848,0.96,0.1647,0.1506,0.3354,0.4821,27.6
FIN-071,2026-08-06T17:46:29Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,sentence_4o1,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.176,0.086,0.607,0.856,0.88,0.2168,0.1165,0.5802,0.4583,26.6
FIN-072,2026-08-06T17:46:59Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,sentence_4o1,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.164,0.111,0.76,0.837,0.88,0.2101,0.1276,0.4899,0.4643,26.3
FIN-073,2026-08-06T18:06:41Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,fixed_150w,llama-3.3-70b-versatile,dense,none,forward,0.364,0.248,0.553,0.83,0.8,0.3804,0.3115,0.654,0.381,1144.7
FIN-074,2026-08-06T18:24:50Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,fixed_150w,llama-3.3-70b-versatile,dense,none,reverse,0.37,0.306,0.66,0.834,0.88,0.3612,0.3664,0.5568,0.4107,1086.2
FIN-075,2026-08-06T18:42:07Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,fixed_150w,llama-3.3-70b-versatile,dense,none,sides,0.404,0.312,0.707,0.922,0.88,0.3939,0.361,0.4853,0.5179,1033.7
FIN-076,2026-08-06T18:43:46Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,fixed_150w,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.38,0.288,0.653,0.843,0.88,0.375,0.3369,0.5457,0.369,96.2
FIN-077,2026-08-06T18:50:16Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,fixed_150w,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.354,0.25,0.707,0.893,0.92,0.3506,0.2708,0.5617,0.5119,386.3
FIN-078,2026-08-06T18:53:25Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,fixed_150w,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.398,0.306,0.7,0.836,0.92,0.3818,0.347,0.5323,0.4702,186.5
FIN-079,2026-08-06T19:05:16Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,fixed_150w,llama-3.3-70b-versatile,hybrid,none,forward,0.404,0.304,0.72,0.809,0.96,0.3747,0.335,0.4989,0.3571,707.7
FIN-080,2026-08-06T19:18:27Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,fixed_150w,llama-3.3-70b-versatile,hybrid,none,reverse,0.346,0.282,0.653,0.826,0.84,0.3507,0.3458,0.5812,0.4583,788.0
FIN-081,2026-08-06T19:34:03Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,fixed_150w,llama-3.3-70b-versatile,hybrid,none,sides,0.366,0.282,0.607,0.85,0.8,0.3646,0.3439,0.6209,0.2857,932.8
FIN-082,2026-08-06T19:34:25Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,fixed_150w,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.38,0.288,0.653,0.843,0.88,0.375,0.3369,0.5457,0.369,18.8
FIN-083,2026-08-06T19:34:46Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,fixed_150w,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.354,0.25,0.707,0.893,0.92,0.3506,0.2708,0.5617,0.5119,18.4
FIN-084,2026-08-06T19:35:09Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,fixed_150w,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.398,0.306,0.7,0.836,0.92,0.3818,0.347,0.5323,0.4702,19.4
FIN-085,2026-08-06T19:46:14Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,large_sem_1100,llama-3.3-70b-versatile,dense,none,forward,0.115,0.102,0.893,0.74,0.92,0.1105,0.1053,0.3018,0.3274,627.5
FIN-086,2026-08-06T20:04:14Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,large_sem_1100,llama-3.3-70b-versatile,dense,none,reverse,0.095,0.077,0.727,0.818,0.84,0.0758,0.0852,0.4888,0.4762,1076.9
FIN-087,2026-08-06T20:17:55Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,large_sem_1100,llama-3.3-70b-versatile,dense,none,sides,0.093,0.085,0.857,0.73,0.88,0.0592,0.0621,0.3731,0.5,818.0
FIN-088,2026-08-06T20:19:31Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,large_sem_1100,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.102,0.087,0.873,0.846,1.0,0.0875,0.0831,0.3283,0.2857,93.1
FIN-089,2026-08-06T20:29:12Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,large_sem_1100,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.087,0.06,0.64,0.843,0.84,0.0526,0.0683,0.5312,0.5714,578.4
FIN-090,2026-08-06T20:29:45Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,large_sem_1100,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.091,0.075,0.833,0.817,0.96,0.0627,0.0594,0.4256,0.4524,30.2
FIN-091,2026-08-06T20:48:54Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,large_sem_1100,llama-3.3-70b-versatile,hybrid,none,forward,0.097,0.064,0.747,0.786,0.92,0.0779,0.0418,0.3859,0.4107,1145.2
FIN-092,2026-08-06T21:06:54Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,large_sem_1100,llama-3.3-70b-versatile,hybrid,none,reverse,0.103,0.075,0.783,0.823,0.84,0.0721,0.0615,0.4082,0.4286,1077.2
FIN-093,2026-08-06T21:23:45Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,large_sem_1100,llama-3.3-70b-versatile,hybrid,none,sides,0.106,0.071,0.71,0.789,0.88,0.0887,0.0622,0.4388,0.4167,1007.9
FIN-094,2026-08-06T21:24:07Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,large_sem_1100,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.102,0.087,0.873,0.846,1.0,0.0875,0.0831,0.3283,0.2857,19.5
FIN-095,2026-08-06T21:24:29Z,finance,finqa,25,e0235d5eb0ed63d4,openai/gpt-oss-120b,bge-small-en-v1.5,large_sem_1100,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.087,0.06,0.64,0.843,0.84,0.0526,0.0683,0.5312,0.5714,18.3
